Identifier,Original ARK/DOI,Work Title,Minted DOI,Status,Reason,URL
ET_Archuleta_County_photo_index.pdf,,ET 2-25/ET 6-05,https://doi.org/10.60807/7gcogk,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46767~1256136
et002025.jpg,,ET 2-25,https://doi.org/10.60807/n0k1a4,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46628~1256082
et002023.jpg,,ET 2-23,https://doi.org/10.60807/sea52a,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46627~1256083
et002031.jpg,,ET 2-31,https://doi.org/10.60807/20dxbw,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46631~1256079
et002021.jpg,,ET 2-21,https://doi.org/10.60807/dipebo,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46626~1256084
et002029.jpg,,ET 2-29,https://doi.org/10.60807/k4v46v,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46630~1256080
et002027.jpg,,ET 2-27,https://doi.org/10.60807/oypedp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46629~1256081
et001072.jpg,,ET 1-72,https://doi.org/10.60807/ymi5fu,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46613~1256097
et001070.jpg,,ET 1-70,https://doi.org/10.60807/y74v6q,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46612~1256098
et002017.jpg,,ET 2-17,https://doi.org/10.60807/9f2auo,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46624~1256086
et001076.jpg,,ET 1-76,https://doi.org/10.60807/9pz5bl,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46615~1256095
et001062.jpg,,ET 1-62,https://doi.org/10.60807/l4j5un,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46608~1256102
et001064.jpg,,ET 1-64,https://doi.org/10.60807/sjqn6w,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46609~1256101
et001074.jpg,,ET 1-74,https://doi.org/10.60807/zhh681,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46614~1256096
et002019.jpg,,ET 2-19,https://doi.org/10.60807/gaxb6g,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46625~1256085
et001066.jpg,,ET 1-66,https://doi.org/10.60807/hf2tyu,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46610~1256100
et001068.jpg,,ET 1-68,https://doi.org/10.60807/rcmhym,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46611~1256099
et001060.jpg,,ET 1-60,https://doi.org/10.60807/26tsn0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46607~1256103
