"Project-Roll-Frame","Date","Publisher","Scale","sortOrder","Physical Item Location","Rights","County#1","State#1","1:24000 USGS Topo Quad Name#1#1","1:24000 USGS Topo Quad Name Authority#1#1","1:24000 USGS Topo Quad Name#1#10","1:24000 USGS Topo Quad Name Authority#1#10","1:24000 USGS Topo Quad Name#1#11","1:24000 USGS Topo Quad Name Authority#1#11","1:24000 USGS Topo Quad Name#1#12","1:24000 USGS Topo Quad Name Authority#1#12","1:24000 USGS Topo Quad Name#1#13","1:24000 USGS Topo Quad Name Authority#1#13","1:24000 USGS Topo Quad Name#1#14","1:24000 USGS Topo Quad Name Authority#1#14","1:24000 USGS Topo Quad Name#1#15","1:24000 USGS Topo Quad Name Authority#1#15","1:24000 USGS Topo Quad Name#1#16","1:24000 USGS Topo Quad Name Authority#1#16","1:24000 USGS Topo Quad Name#1#2","1:24000 USGS Topo Quad Name Authority#1#2","1:24000 USGS Topo Quad Name#1#3","1:24000 USGS Topo Quad Name Authority#1#3","1:24000 USGS Topo Quad Name#1#4","1:24000 USGS Topo Quad Name Authority#1#4","1:24000 USGS Topo Quad Name#1#5","1:24000 USGS Topo Quad Name Authority#1#5","1:24000 USGS Topo Quad Name#1#6","1:24000 USGS Topo Quad Name Authority#1#6","1:24000 USGS Topo Quad Name#1#7","1:24000 USGS Topo Quad Name Authority#1#7","1:24000 USGS Topo Quad Name#1#8","1:24000 USGS Topo Quad Name Authority#1#8","1:24000 USGS Topo Quad Name#1#9","1:24000 USGS Topo Quad Name Authority#1#9","Landmark#1#1","Landmark Authority#1#1","County#2","State#2","1:24000 USGS Topo Quad Name#2#1","1:24000 USGS Topo Quad Name Authority#2#1","1:24000 USGS Topo Quad Name#2#2","1:24000 USGS Topo Quad Name Authority#2#2","1:24000 USGS Topo Quad Name#2#3","1:24000 USGS Topo Quad Name Authority#2#3","1:24000 USGS Topo Quad Name#2#4","1:24000 USGS Topo Quad Name Authority#2#4","Landmark#2#1","Landmark Authority#2#1","County#3","State#3","1:24000 USGS Topo Quad Name#3#1","1:24000 USGS Topo Quad Name Authority#3#1","1:24000 USGS Topo Quad Name#3#2","1:24000 USGS Topo Quad Name Authority#3#2","1:24000 USGS Topo Quad Name#3#3","1:24000 USGS Topo Quad Name Authority#3#3","County#4","State#4","1:24000 USGS Topo Quad Name#4#1","1:24000 USGS Topo Quad Name Authority#4#1","Center Point Latitude#1","Center Point Longitude#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:1","lnexp_IMAGEURL:8"
"BOW 10-1","10/25/1938","United States Forest Service","1:20,000","10001","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Grand Lake","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kawuneeche Valley","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 19 30","-105 52 13","34855","","BOW010001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34855~102980","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010001.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010001.jp2&width=5370&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-3","10/25/1938","United States Forest Service","1:20,000","10003","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Grand Lake","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kawuneeche Valley","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 18 05","-105 52 18","34860","","BOW010003.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34860~102981","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010003.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010003.jp2&width=5249&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 10-5","10/25/1938","United States Forest Service","1:20,000","10005","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Bowen Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","North Supply Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 17 13","-105 52 40","34863","","BOW010005.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34863~102982","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010005.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010005.jp2&width=5273&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 10-7","10/25/1938","United States Forest Service","1:20,000","10007","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Bowen Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 15 56","-105 52 48","34867","","BOW010007.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34867~102983","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010007.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010007.jp2&width=5273&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-9","10/25/1938","United States Forest Service","1:20,000","10009","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 14 34","-105 52 49","34871","","BOW010009.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34871~102872","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010009.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010009.jp2&width=5321&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-11","10/25/1938","United States Forest Service","1:20,000","10011","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Soda Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 13 07","-105 52 59","34874","","BOW010011.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34874~102873","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010011.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010011.jp2&width=5321&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-13","10/25/1938","United States Forest Service","1:20,000","10013","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lake Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 11 43","-105 52 57","34877","","BOW010013.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34877~102874","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010013.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010013.jp2&width=5346&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 10-15","10/25/1938","United States Forest Service","1:20,000","10015","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lake Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 10 20","-105 52 54","34881","","BOW010015.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34881~102875","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010015.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010015.jp2&width=5321&height=4162&x=0&y=0&resolution=6&level=0"
"BOW 10-17","10/25/1938","United States Forest Service","1:20,000","10017","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lake Granby","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 09 11","-105 52 57","34884","","BOW010017.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34884~102876","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010017.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010017.jp2&width=5394&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 10-19","10/25/1938","United States Forest Service","1:20,000","10019","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Trail Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colorado River","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 07 37","-105 52 52","34887","","BOW010019.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~34887~102877","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1047/BOW010019.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1047/BOW010019.jp2&width=5370&height=4186&x=0&y=0&resolution=6&level=0"
