Project-Roll-Frame,Date,Publisher,Scale,sortOrder,Physical Item Location,Rights,County#1,State#1,1:24000 USGS Topo Quad Name#1#1,1:24000 USGS Topo Quad Name Authority#1#1,1:24000 USGS Topo Quad Name#1#10,1:24000 USGS Topo Quad Name Authority#1#10,1:24000 USGS Topo Quad Name#1#11,1:24000 USGS Topo Quad Name Authority#1#11,1:24000 USGS Topo Quad Name#1#12,1:24000 USGS Topo Quad Name Authority#1#12,1:24000 USGS Topo Quad Name#1#13,1:24000 USGS Topo Quad Name Authority#1#13,1:24000 USGS Topo Quad Name#1#14,1:24000 USGS Topo Quad Name Authority#1#14,1:24000 USGS Topo Quad Name#1#15,1:24000 USGS Topo Quad Name Authority#1#15,1:24000 USGS Topo Quad Name#1#16,1:24000 USGS Topo Quad Name Authority#1#16,1:24000 USGS Topo Quad Name#1#2,1:24000 USGS Topo Quad Name Authority#1#2,1:24000 USGS Topo Quad Name#1#3,1:24000 USGS Topo Quad Name Authority#1#3,1:24000 USGS Topo Quad Name#1#4,1:24000 USGS Topo Quad Name Authority#1#4,1:24000 USGS Topo Quad Name#1#5,1:24000 USGS Topo Quad Name Authority#1#5,1:24000 USGS Topo Quad Name#1#6,1:24000 USGS Topo Quad Name Authority#1#6,1:24000 USGS Topo Quad Name#1#7,1:24000 USGS Topo Quad Name Authority#1#7,1:24000 USGS Topo Quad Name#1#8,1:24000 USGS Topo Quad Name Authority#1#8,1:24000 USGS Topo Quad Name#1#9,1:24000 USGS Topo Quad Name Authority#1#9,Landmark#1#1,Landmark Authority#1#1,County#2,State#2,1:24000 USGS Topo Quad Name#2#1,1:24000 USGS Topo Quad Name Authority#2#1,1:24000 USGS Topo Quad Name#2#2,1:24000 USGS Topo Quad Name Authority#2#2,1:24000 USGS Topo Quad Name#2#3,1:24000 USGS Topo Quad Name Authority#2#3,1:24000 USGS Topo Quad Name#2#4,1:24000 USGS Topo Quad Name Authority#2#4,Landmark#2#1,Landmark Authority#2#1,County#3,State#3,1:24000 USGS Topo Quad Name#3#1,1:24000 USGS Topo Quad Name Authority#3#1,1:24000 USGS Topo Quad Name#3#2,1:24000 USGS Topo Quad Name Authority#3#2,1:24000 USGS Topo Quad Name#3#3,1:24000 USGS Topo Quad Name Authority#3#3,County#4,State#4,1:24000 USGS Topo Quad Name#4#1,1:24000 USGS Topo Quad Name Authority#4#1,Center Point Latitude#1,Center Point Longitude#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
BOW 10-1,10/25/1938,United States Forest Service,"1:20,000",10001,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Grand Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kawuneeche Valley,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 19 30,-105 52 13,34855,,BOW010001.jpg
BOW 10-3,10/25/1938,United States Forest Service,"1:20,000",10003,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Grand Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kawuneeche Valley,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 18 05,-105 52 18,34860,,BOW010003.jpg
BOW 10-5,10/25/1938,United States Forest Service,"1:20,000",10005,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Bowen Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Supply Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 17 13,-105 52 40,34863,,BOW010005.jpg
BOW 10-7,10/25/1938,United States Forest Service,"1:20,000",10007,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Bowen Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 15 56,-105 52 48,34867,,BOW010007.jpg
BOW 10-9,10/25/1938,United States Forest Service,"1:20,000",10009,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 14 34,-105 52 49,34871,,BOW010009.jpg
BOW 10-11,10/25/1938,United States Forest Service,"1:20,000",10011,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soda Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 13 07,-105 52 59,34874,,BOW010011.jpg
BOW 10-13,10/25/1938,United States Forest Service,"1:20,000",10013,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 11 43,-105 52 57,34877,,BOW010013.jpg
BOW 10-15,10/25/1938,United States Forest Service,"1:20,000",10015,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 10 20,-105 52 54,34881,,BOW010015.jpg
BOW 10-17,10/25/1938,United States Forest Service,"1:20,000",10017,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Granby,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 09 11,-105 52 57,34884,,BOW010017.jpg
BOW 10-19,10/25/1938,United States Forest Service,"1:20,000",10019,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Trail Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado River,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 07 37,-105 52 52,34887,,BOW010019.jpg
